,Movie,Year,Duration,Rating,Metascore,Votes,Gross Total (Millions)
437,Despicable Me,2010,95,7.6,72,501079,251.51
438,The Boondock Saints,1999,108,7.8,44,227186,0.03
439,The Holy Mountain,1973,114,7.9,76,37212,0.06
440,A Bronx Tale,1993,121,7.8,80,128237,17.27
441,Brazil,1985,132,7.9,84,187636,9.93
442,I Saw the Devil,2010,144,7.8,67,111348,0.13
443,Das Boot,1981,149,8.3,86,231997,11.49
444,Boyhood,2014,165,7.9,100,335620,25.38
445,Cinema Paradiso,1988,155,8.5,80,230931,11.99
446,Gattaca,1997,106,7.8,64,280951,12.34
447,Some Like It Hot,1959,121,8.2,98,244090,25
448,When Harry Met Sally...,1989,95,7.6,76,195751,92.82
449,Shoplifters,2018,121,7.9,93,62846,3.31
450,Enemy at the Gates,2001,131,7.6,53,243820,51.4
451,District 9,2009,112,7.9,81,638358,115.65
452,Moon,2009,97,7.9,67,335249,5.01
453,Wreck-It Ralph,2012,101,7.7,72,380379,189.42
454,The Seventh Seal,1957,96,8.2,88,165091,
455,Philadelphia,1993,125,7.7,66,224266,77.32
456,Y Tu Mamá También,2001,106,7.6,88,115868,13.62
457,Halloween,1978,91,7.7,87,233200,47
458,Stalker,1979,162,8.2,,117080,0.23
459,The Birds,1963,119,7.7,90,171804,11.4
460,The Color Purple,1985,154,7.8,78,78360,98.47
461,Singin' in the Rain,1952,103,8.3,99,219092,8.82
462,Only the Brave,2017,134,7.6,72,58418,18.34
463,Empire of the Sun,1987,153,7.7,62,115726,22.24
464,Kramer vs. Kramer,1979,105,7.8,77,133411,106.26
465,Roma,2018,135,7.7,96,140494,
466,Boyz n the Hood,1991,112,7.8,76,126149,57.5
467,The Skin I Live In,2011,120,7.6,70,139014,3.19
468,Close Encounters of the Third Kind,1977,138,7.6,90,185058,132.09
469,Match Point,2005,124,7.6,72,206353,23.09
470,Dogville,2003,178,8,60,138010,1.53
471,3:10 to Yuma,2007,122,7.7,76,288909,53.61
472,Gifted,2017,101,7.6,60,99733,24.8
473,Klaus,2019,96,8.2,65,105008,
474,Battle Royale,2000,114,7.6,81,169128,
475,End of Watch,2012,109,7.6,68,228199,41
476,Lost Highway,1997,134,7.6,52,131191,3.8
477,Awakenings,1990,121,7.8,74,125372,52.1
478,Toy Story 2,1999,92,7.9,88,527777,245.85
479,Hachi: A Dog's Tale,2009,93,8.1,,253754,
480,To Kill a Mockingbird,1962,129,8.2,88,293950,
481,The Wrestler,2008,109,7.9,80,289485,26.24
482,Wild Tales,2014,122,8.1,77,177197,3.11
483,Dark City,1998,100,7.6,66,187974,14.38
484,La Haine,1995,98,8.1,,150482,0.31
485,Rebecca,1940,130,8.1,86,124012,4.36
486,Before Sunset,2004,80,8.1,90,236457,5.82
487,Bonnie and Clyde,1967,111,7.8,86,102458,
